case_id,score,defect_flags,vs_deepseek_judgment,ideal_answer_skeleton,confidence,reasoning
eval-lab-v1-F03,3,over_safe_generic,tied,1.先看信封：确认寄件方（出入国在留管理庁/区役所/年金机构等），决定去哪个窗口 | 2.直接带原件去发件窗口：告诉工作人员'内容がわからない'，当场请求说明 | 3.期限检查：找到通知里的日期数字，这是最紧迫的信息 | 4.找日语会的人翻译全文：不是大意，是逐条翻译要求 | 5.若有期限且临近：当天就找行政书士，不要等,0.75,TEBIQ给出了'找人翻译+确认期限+必要时找行政书士'的基本流程，方向正确。DeepSeek更详细地提供了去哪个窗口、怎么说（具体日文句子）以及通知类型识别指南。TEBIQ的答案对用户来说够用但不如DS实用，判定tied。结尾略套路化。
eval-lab-v1-F04,3,no_next_action,tied,1.先看清通知书要求：针对哪个问题作出说明（避免答非所问）| 2.结构：申请人信息+要说明的事项摘录+时间线事实陈述+结论 | 3.原则：事实优先（用客观事实不用主观感受），针对性回应（不写无关内容），正式但清晰的日语 | 4.矛盾解释：若材料有矛盾，说明产生原因；若有空白期，说明正当理由 | 5.日语表达有困难时：找行政书士代写比自己乱写风险低,0.74,TEBIQ的咨询逻辑正确（先了解具体要求再给指导），三个写作原则也准确。但用户看完TEBIQ的回答，如果没有补充信息就没法开始写——DS直接给出了可用的写作框架（开头/主体/事实支撑/结论），用户拿到就能动手。属no_next_action。整体判定tied。
eval-lab-v1-F05,3,no_next_action,tied,1.首先确认在留期限：不许可后在留窗口可能非常短，这是最紧迫的事 | 2.去入管窗口请求说明不许可理由（可以口头问，有时能通过情报开示获取书面理由）| 3.根据理由选择路径：可以再申请/行政不服申立（審査請求，3个月内）/或离境 | 4.不同申请类型的注意：永住不许可与变更/更新不许可的后续处理不同 | 5.立即找行政书士：不许可后时间窗口往往很短，每天都有影响,0.74,TEBIQ正确强调了先确认在留期限这一优先事项，并提到了再申请/行政申诉/离境三条路径。但没有解释各路径的具体条件和时间限制（比如行政不服申立必须3个月内），用户看完知道有路径但不知道怎么选。属no_next_action。整体判定tied。
eval-lab-v1-F06,2,shallow_answer,regression,1.情景1：现有在留卡还在有效期内 → 可合法停留到期限最后一天 | 2.情景2：在留期限已过/申请期间在留自动延长状态被拒 → 入管通常给30天出境准备期 | 3.出境准备期：通知书上会写明，以该日期为准，超过即非法滞留 | 4.情景3：涉及退去强制 → 收到意见听取通知须立即处理，时间极短 | 5.不论哪种情况：收到通知书当天就确认在留卡期限并咨询行政书士,0.82,TEBIQ的回答只说了'可以停留到在留卡到期'，完全遗漏了最重要的情景：在留期限已过或因申请期间延长状态而被拒时，入管通常给30天出境准备期这一关键信息。用户最可能处于这个情景，DeepSeek有详细的3种情景分析。TEBIQ对这个问题的回答信息密度明显不足，判定regression。
eval-lab-v1-F07,3,over_safe_generic,tied,1.可以再申请，无强制等待期，但须实质改善不许可的原因 | 2.先弄清理由：去入管窗口确认，或申请情報開示了解审查要点 | 3.行政不服申立路径：审查請求（法务大臣，3个月内）或审查庭诉讼，有严格时限 | 4.再申请vs申诉的选择：取决于不许可原因性质（材料不足 vs 制度性拒绝）| 5.当前在留期限是关键约束：期限不足时申诉路径优先于再申请,0.73,TEBIQ覆盖了可再申请、行政申诉路径（審査請求、異議申立）和时限的重要性，并要求用户确认关键信息以给出具体建议。DS更详细地给出了每种不许可原因的对应思路。整体信息量相当，判定tied。结尾列举问题略套路化，但在收集信息上是合理的TEBIQ行为。
eval-lab-v1-F08,3,over_safe_generic,tied,1.不服申立期间（申诉期限）：知道处分次日起3个月内，错过则行政申诉路径关闭 | 2.出境准备期间：在留期限已过的情况下给予的离境缓冲，通常30天左右 | 3.两者后果完全不同：申诉期限错过无法推翻决定，出境期限错过构成非法滞留 | 4.立刻核对：在留卡上的期限 vs 通知书上的日期 | 5.不同申请类型（更新/变更/永住）的期限处理方式有差异，需个案确认,0.74,TEBIQ正确区分了两类期限（在留期限 vs 申诉期限）及其不同后果，与DeepSeek信息密度相当。TEBIQ特别强调了'核对在留卡与通知书'的具体行动，有实用价值。DeepSeek对申诉期限（3个月内）和出境准备期（30天）的数字更明确，TEBIQ未列出具体数字。整体tied，结尾略套路化。
eval-lab-v1-F09,3,shallow_answer,tied,1.必带基础材料：护照+在留卡原件/申请受理票/已提交申请的复印件/入管通知书原件 | 2.根据说明主题准备证据：活动内容(在职证明/薪资明细)/地址(住民票/租约)/出入境(护照入境章)/特殊情况(诊断书等) | 3.准备书面要点摘要：防止紧张漏说，与书面材料保持一致 | 4.语言支援：带会日语的陪同或提前委托行政书士 | 5.不要只靠口头解释：每一句陈述都要有书面材料支撑,0.73,TEBIQ的咨询逻辑正确（先了解具体情况再给出针对性建议），给出的基础材料清单也合理。但DS提供了更完整的分情景材料清单（按说明主题类型列出不同证据），这对用户准备很有帮助。TEBIQ的答案在被截断前也给出了基础材料列表，但缺少按说明主题的差异化建议，属shallow_answer。整体tied。
eval-lab-v1-F10,3,over_safe_generic,tied,1.先看信封上的寄件方，判断是入管/区役所/年金机构等哪个部门 | 2.快速扫描关键词：審査結果/補完要求/在留カード/退去強制等，判断通知类型 | 3.找期限：看通知内有没有'○月○日までに'等日期表述 | 4.找专业翻译：行政书士/多语言在留支援团体，当天联系 | 5.若有'退去強制'或'意見聴取'等字样：极为紧迫，立即处理,0.72,TEBIQ给出了简洁有力的行动指引（马上找人读懂+当天找行政书士），2周期限警告也有实用价值。DeepSeek更全面地提供了关键词识别指南，帮助用户自己初步判断通知类型（如退去強制这类紧急情况）。TEBIQ未区分通知紧急程度，略有shallow_answer倾向。整体tied。
eval-lab-v1-G01,4,fact_underused,tied,Confirm if move was recent or long past; state 14-day obligation and consequences of delay; explain process: 転出届 (old ward) then 転入届 (new ward) with 在留カード; warn that mismatch can surface as contradiction in 更新/永住 materials; if period far exceeded consider 行政書士,0.72,"TEBIQ gives a solid risk-oriented answer that surfaces the downstream consequence (住民票/税務/年金 record contradictions affecting 在留更新 or 永住). DS is slightly more procedurally precise: it explicitly walks through 転出届 → 転入届 for cross-municipality moves, a step TEBIQ omits. Both are quality answers; TEBIQ does not clearly add over DS on this topic, hence tied rather than strict_added."
eval-lab-v1-G02,2,"fact_miss,unsafe_overclaim",regression,"Key fact: 区役所 handles the address update AND notifies 入管 via the system — you do NOT need to separately go to 入管 for a routine address change; state 14-day deadline; list what to bring; mention side items to settle at 役所 (NHI, pension); note edge case where 在留申請 is pending",0.83,"TEBIQ makes a significant factual error: it tells users they must separately visit 入管 to file a 住居地届出 AFTER visiting 区役所, stating 'the two notifications cannot substitute each other.' Under the current 在留カード system (post-2012), the municipality reports the address change to 出入国在留管理庁 electronically — there is no separate 入管 visit required for a routine address change. DS correctly states this linkage ('区役所会直接将地址写入在留卡并通过系统联动传递给入管'). TEBIQ's incorrect guidance could cause users to make an unnecessary trip and more dangerously suggests a compliance process that does not exist, qualifying as regression."
eval-lab-v1-G03,3,"fact_underused,shallow_answer",tied,"14 days from moving into the new residence; if cross-municipality: 転出届 at old ward first; at new ward: bring 在留カード, address proof; address printed on card back; consequences of delay: possible 届出遅延 record visible in future 更新/永住 review; escalate to 行政書士 if long overdue",0.7,"TEBIQ covers the 14-day rule and late-filing risk adequately, and appropriately recommends 行政書士 for complex cases. However it misses the procedural detail DS includes: when moving across municipalities you must file 転出届 at the old ward first. TEBIQ's phrasing ('from when address is confirmed') is slightly less precise than DS's 'after moving in.' No major factual errors, but the answer is shallower on procedure, resulting in tied rather than strict_added."
eval-lab-v1-G04,2,"fact_miss,no_next_action",regression,"First step: report to police station (警察署/交番) and obtain 遺失届出証明書; within 14 days apply for 再交付 at 入管 with: 申請書, photo, 証明書, passport; note 不携帯 risk during processing; if card also near expiry, combine 更新 申請; bring 紛失届受理番号 if police receipt only",0.83,"TEBIQ's fatal error: the first step it instructs users to take is going to 市区町村役所 (municipal office). The correct first step for a lost 在留カード is to report to the 警察署 (police station) to obtain the 遺失届出証明書. This certificate is required when applying for 再交付 at 入管. The municipal office plays no role in 在留カード loss reporting. DS correctly walks through: police first, then 入管 within 14 days with specific materials. Misdirecting users to the wrong government office on an urgent 14-day deadline matter is a clear regression."
eval-lab-v1-G05,3,fact_underused,tied,"Confirm application was submitted before expiry (if not: extremely urgent, contact 行政書士 immediately); if submitted: 特例期間 allows stay for up to 2 months after expiry; during 特例期間 can continue prior activities including work; monitor for mail/追加資料 notice; if 特例期間 also near end, proactively contact 入管; keep 受付票 on hand at all times",0.72,"TEBIQ covers the critical points well: confirms whether application was submitted before expiry, explains 特例期間, warns about 不許可 risk. The main gap: it omits that the user can legally continue working during 特例期間 — for work visa holders this is a crucial practical fact. DS explicitly states this. TEBIQ's action guidance (monitor 受付票, watch for mail) is appropriate. Overall tied — TEBIQ is comparable to DS in quality but misses one important fact."
eval-lab-v1-G06,4,,strict_added,"First: use photo translate to classify urgency (watch for 期限/督促/差押 keywords); go to 区役所's 外国人相談窓口 with original notice; if notice appears 在留-related (referencing 入管/在留資格): escalate to 行政書士, do not rely on 役所 window alone; note that ignored notices can generate late fees or affect 在留更新 review",0.7,"TEBIQ adds genuine value over DS: it explicitly flags that if the notice appears 在留-related (mentions 入管 or 在留資格), the user should escalate to 行政書士 rather than just visiting the 役所 window. This triage distinction — operational vs. in-留-status notices — is the key risk differentiation. TEBIQ also correctly notes that ignored notices can affect 在留更新, linking a seemingly routine admin issue to immigration risk. DS offers good practical advice but lacks this escalation signal, making TEBIQ a strict_added."
eval-lab-v1-G07,4,,strict_added,Classify notice: 国税 (税務署) vs 住民税 (市区町村役所) — different handling; for 国税: call 国税庁 外国人向けタックスアンサー (中英韓); for 住民税: go to 市役所/区役所; warn that 住民税 payment record affects 永住/帰化 screening; don't treat any notice as irrelevant; go in person with notice + 在留カード if unclear,0.72,"TEBIQ adds two pieces of genuine value DS lacks: (1) the critical distinction between 国税 (税務署 → 国税庁 multilingual hotline) and 住民税 (市区町村役所), which determines which office to contact; (2) explicitly linking 住民税 payment history to 永住/帰化 screening — a risk connection the user didn't ask about but needs to know. TEBIQ also names the specific 国税庁 foreign language hotline. DS offers decent general advice but misses this taxonomy, making TEBIQ a clear strict_added."
eval-lab-v1-G08,3,fact_underused,tied,"Trigger: long-term overseas stay (>1 year) or no fixed return plan; timing: within 14 days BEFORE departure, cannot file from abroad; if already departed: delegate to family/agent in Japan with written proxy; effects: 住民票 removed, 国保/年金 termination — handle all at 役所 visit; note 在留資格 itself is unaffected by 転出届",0.72,"TEBIQ correctly covers the main points: before-departure timing, the >1 year / no-return-plan trigger, and suggests confirming with 役所 on exact deadline. However, it omits the important detail DS includes: if you've already departed without filing, you must delegate to a family member or agent in Japan with a written proxy (委任状). This is a non-trivial practical gap for users who are already abroad. Otherwise answers are comparable in quality, making this tied."
eval-lab-v1-G09,4,,strict_added,"First: confirm two branching facts — (a) did user file 海外転出届 before leaving? (b) is 在留カード still valid? Standard case (転出 filed, card valid): bring 在留カード, address proof, go to 役所 within 14 days; if 転出 not filed / card expired / 在留資格 changed: do NOT self-judge, go to 行政書士 first to resolve 在留 status before住民登録",0.72,"TEBIQ adds genuine value by front-loading the two critical branching conditions before jumping into procedure: was 海外転出届 filed, and is the 在留カード still valid? This is exactly the right diagnostic framing — the answer differs substantially depending on these conditions. TEBIQ then flags that atypical situations (no 転出, expired card, changed 在留資格) require 行政書士 consultation before proceeding with 住民登録. DS goes straight to the standard procedure without branching. TEBIQ's risk-triage structure is strictly better."
eval-lab-v1-G10,3,shallow_answer,tied,"Identify which field mismatches: address (most common — 届出遅延, fix at 役所 then confirm with 入管); name/DOB (usually 役所 data entry error — bring passport + 在留カード to 役所 to correct); 在留資格 (rarer — check which record is authoritative, may require 入管 involvement); warn that any existing 届出遅延 will appear in future 更新/永住 review; escalate to 行政書士 to assess if penalty has accrued",0.7,"TEBIQ provides solid risk framing — surfacing that 届出義務違反 will affect future 更新/永住 — but is less procedurally actionable than DS on how to actually fix each type of mismatch. DS walks through address correction step-by-step (update 役所 then update 入管 within 14 days, what to bring). TEBIQ spends more text on warning about risk categories without clearly guiding the user on concrete resolution steps for each case type. The 行政書士 recommendation at the end is appropriate but comes after relatively thin procedural guidance, resulting in tied."
eval-lab-v1-H01,2,user_intent_misread,regression,Recognize ambiguity: most likely asking about 脱退一時金 application deadline (2 years after losing JP residence); alternatively asking about mandatory enrollment age limit (70) or monthly payment schedule; ask one clarifying question; do not default to 永住 context without evidence,0.75,"TEBIQ immediately assumes the user is asking about the 厚生年金 record cutoff date for 永住 applications, framing the answer around the 2-year proof window required for permanent residence review. This is a strong context projection with no evidence in the question. The natural reading of '厚生年金截止日期' in the context of a foreign national consulting service is almost certainly about the 脱退一時金 application deadline (2 years after departing Japan), which DS correctly identifies as interpretation #1. DS handles the ambiguity properly by offering three interpretations. TEBIQ's mismatch means a user asking about 脱退一時金 gets an irrelevant answer about 永住 documentation timing."
eval-lab-v1-H02,3,,tied,"Permanent residence: most affected — requires showing 2-year payment record, 5-year consistent payment history; late/unpaid during required period cannot be reversed by later catch-up; work visa renewal: less direct but can be flagged if audited; check ねんきんネット for actual record; distinguish 厚生年金 (employer-deducted) vs 国民年金 (self-paid); if underpaid, address before next renewal",0.7,"Both answers cover the core risk: 国民年金 non-payment most severely affects 永住 applications, less directly affects work visa renewals. TEBIQ is more precise about the 2-year/5-year documentation requirements for 永住, while DS covers more visa types (work, family, student). TEBIQ is somewhat truncated in its answer but makes the key distinction clearly. Neither adds clearly distinct value over the other; quality is comparable, resulting in tied."
eval-lab-v1-H03,4,,strict_added,"Clarify visa type and goal (renewal vs 永住) first; for 永住: must submit 3-year 住民税 証明, late payment leaves a residual record even if later settled; for work-visa renewal: less formal, but unpaid records visible in audit can become negative factor; practical first step: confirm exact unpaid years and amounts at 区役所; bring current status to 行政書士 for risk assessment before next application",0.7,TEBIQ adds genuine value by explicitly scoping its answer to the user's actual goal: it distinguishes 永住 (where 住民税 records are formally required for 3 years) from 在留 更新 (where impact is less formal but still possible). It also asks clarifying questions (which year? which visa? when is expiry?) that correctly gate the risk assessment. DS gives a solid general answer but treats the question uniformly. TEBIQ's contextual triage and clarifying questions make it strictly more useful for the target user.
eval-lab-v1-H04,4,,strict_added,"Front-load: missing 社保 enrollment affects 在留 renewals and 永住 as a 在留状況不良 signal, not just a labor law issue; confirm in writing with employer (email/document) that you are not enrolled; contact 年金事務所 or 労働基準監督署 if employer refuses; if issue persists, apply individually for 国民健康保険 + 国民年金 as a documented alternative; at next renewal, proactively explain the gap and provide NHI/NP enrollment proof to prevent misinterpretation",0.72,"TEBIQ adds genuine value by surfacing the 在留 dimension DS omits: missing 社保 enrollment is not just a labor compliance issue but a potential 在留審査 red flag. The practical step TEBIQ offers — prepare an explanation for the next 更新 showing NHI/NP enrollment as an alternative — is directly actionable and addresses a risk the user probably hadn't considered. DS provides better procedural detail on enforcement (年金事務所 referral), but TEBIQ's 在留 risk framing and renewal-prep advice make it a strict_added."
eval-lab-v1-H05,4,fact_underused,strict_added,"Option 1: National health insurance (国民健保) within 14 days at 役所; bring 離職票 or 資格喪失証明書; Option 2: 任意継続 within 20 days, full premium for up to 2 years; Option 3: join as dependent on spouse/family member's plan (if household income qualifies); CRITICAL for work-visa holders: 離職 triggers 14-day 入管 報告 obligation and requires new 在留-compliant employment within 在留期限 — address both simultaneously",0.72,"TEBIQ adds the most important value DS misses: for work visa (技人国等) holders, resignation triggers both a health insurance gap AND a 在留 compliance risk. The 14-day 入管 reporting obligation and the need to find 在留-compliant employment are critical and time-sensitive — DS doesn't mention these at all. TEBIQ correctly flags them. However, TEBIQ misses the family-dependent coverage option that DS covers, which is a useful alternative for users with employed spouses. The 在留 risk surfacing makes this strict_added despite the coverage gap."
eval-lab-v1-H06,4,fact_underused,strict_added,"Eligibility: non-JP national, lost JP residence, paid 6+ months, never received any JP pension; apply within 2 years of losing JP residence by mail to 日本年金機構; CRITICAL: 永住者/定住者 cannot apply; CRITICAL: applying resets your entire pension contribution record to zero — permanently destroys the 5-year payment history needed for 永住; if 永住 is a future possibility, do NOT apply without expert consultation; check ねんきんネット first; gather required docs (application form, passport, 住民票除票)",0.78,"TEBIQ delivers the most important proactive insight: applying for 脱退一時金 permanently resets your pension record to zero, which would destroy the 5-year continuous payment history required for 永住 application. This is exactly the kind of irreversible consequence the user did not ask about but needs to know before deciding. DS provides excellent procedural detail (document checklist, bank account requirements, overseas SWIFT codes) that TEBIQ omits, but the pension-record-reset warning is a high-stakes risk that makes TEBIQ strict_added despite the procedural gap."
eval-lab-v1-H07,4,,strict_added,"Answer: needed if you have outstanding tax obligations after departure (rental income, business income, unpaid 住民税/所得税); before deciding, check: (1) any unpaid tax years — resolve before departure, not after; (2) 在留期限 and whether using 視同再入国 — must return within 1 year AND within 在留期限; if returning after >1 year, 在留資格 itself may be affected; recommend consulting 行政書士 + 税理士 before departure to consolidate both dimensions",0.7,"TEBIQ adds two proactive risk dimensions beyond the direct question: (1) outstanding taxes should be resolved BEFORE departure, not managed remotely — critical for 永住 applicants' clean records; (2) the 在留 re-entry risk: using 視同再入国 limits the user to 1 year abroad within the 在留期限, and exceeding either risks losing 在留資格 entirely. DS appears to focus only on the tax question itself. TEBIQ's linking of departure timing to 在留 validity is the kind of risk the user likely didn't consider when asking about 納税管理人."
eval-lab-v1-H08,3,shallow_answer,tied,"Explain mechanism: 確定申告 feeds into 住民税 calculation — no 申告 means 役所 has no income data, which causes abnormal (zero or missing) 課税証明 that 入管 will flag; self-employed or side-income earners must file regardless; salaried workers with only one employer usually covered by 年末調整; late filing possible (up to 5 years) but leaves a trace; 永住 applicants: check every year's record via ねんきんネット and contact 税理士 immediately",0.7,"Both answers address the core risk. TEBIQ adds value with its clarifying questions (which year? which visa? what plans?) and the observation that late records leave a trace. However, TEBIQ does not explain the causal mechanism DS covers well: 確定申告 → 住民税 calculation → 課税証明 abnormality → 入管 flag. Without this chain, the user may not understand WHY the 申告 omission shows up in 在留 审查. TEBIQ is good but slightly shallower on mechanism, resulting in tied."
eval-lab-v1-H09,4,,tied,"Key variables: (a) which tax year(s) — do they fall in the 3-year 住民税 or 2-year 年金 window required for 永住? (b) was it an omission vs. underdeclaration? (c) has it been fully paid now? Pay immediately if not yet paid; obtain 納税証明書その3 or 未納のない証明 after settlement; if within the 永住 documentation window, consider delaying application until the incident is further from the record window; do not apply immediately — consult 行政書士 or 税理士 first",0.7,"Both answers are solid. TEBIQ adds the strategic insight that if the補税 year falls within the 永住 documentation window (3 years for 住民税, 2 years for 年金), the user should consider delaying their application — a concrete action DS does not recommend. DS provides better procedural detail (specifically names 納税証明書その3, which TEBIQ omits). The strategic timing advice and the documentation window analysis make both answers valuable in different ways, resulting in tied rather than strict_added."
eval-lab-v1-H10,4,fact_underused,tied,"Both leave a record: late payment = paid after deadline (延滞金applies, fact of lateness remains); non-payment = ongoing non-compliance (催告書, potential 差押 of wages/bank accounts); for 永住: both are negative in 直近3年 review, but non-payment is evaluated far more severely as it implies ongoing non-compliance rather than a one-time slip; action: gather 3-year 住民税 records, assess severity with 行政書士 before submitting 永住 application",0.7,"TEBIQ frames the distinction well through the 永住 lens: both are 'principal negative factors,' but non-payment (ongoing) is evaluated more harshly than late payment (completed, one-time). This is useful for the target audience. However, TEBIQ misses the practical legal escalation cascade DS covers: 催告書 → financial investigation → 差押 (asset seizure). For a user who has not been paying at all, this enforcement cascade is critical information — it goes beyond 永住 risk to immediate financial risk. The omission makes this tied rather than strict_added."
eval-lab-v1-I01,4,fact_underused,tied,"Frame with binary question first: permanent departure or might return? Not returning: 在留カード returned/punched at airport, file 海外転出届, apply for 脱退一時金, complete company dissolution and tax filings before departure; possibly returning: use 視同再入国 or formal 再入国許可, but 活動実態 for 経営管理 is scrutinized if not actively operating — flag this as a risk",0.72,"TEBIQ's strategic framing is correct: the binary 'return vs. not return' question determines the entire procedure set. The 活動実態 warning for 経営管理 holders is a genuine proactive insight DS doesn't surface. However, TEBIQ lacks the procedural depth DS provides on company dissolution (解散登記 → 清算 → 税務申告 sequence), which is the most complex and consequential part of abandoning a 経営管理 visa. Different strengths cancel out; tied overall."
eval-lab-v1-I02,4,fact_underused,tied,"If returning with same visa: keep card, use 視同再入国 (1-year limit + 在留期限, whichever shorter); if not returning: hand over card at airport (it is returned or punched); if already abroad without returning it: can mail to specific 入管 address (東京入管おだいば分室); critical risk: if 在留期限 expires while abroad, even a valid card in hand cannot enable re-entry",0.7,"TEBIQ covers the core cases well and adds a useful risk flag: 在留期限 can expire while the user holds a valid card abroad, making re-entry impossible. DS adds the practical mailing address for returning the card from overseas, which TEBIQ omits — a concrete operational detail that may matter to someone already abroad. Different strengths cancel out; tied."
eval-lab-v1-I03,4,,strict_added,"みなし再入国: no pre-application, at airport, 1-year limit or 在留期限 (whichever shorter); regular 再入国許可: apply at 入管 beforehand, up to 5 years; decision depends on: 在留資格, current 在留期限, planned abroad duration; for 経営管理 holders: even with valid 再入国許可, long absence risks 活動実態 questions at future 更新/永住 review — flag this proactively",0.72,"TEBIQ correctly explains the mechanics of both permit types and adds a proactive risk flag DS misses: 経営管理 holders who are absent long-term may face 活動実態 scrutiny at future 更新 or 永住 审查, even if their 再入国許可 is technically valid. This is exactly the kind of downstream consequence a user comparing two procedural options wouldn't think to ask about. The flagging of this risk, combined with the practical advice to confirm 在留資格 and planned duration before deciding, makes TEBIQ strict_added."
eval-lab-v1-I04,4,fact_underused,tied,"Not recommended in general; if during normal 更新 period with valid 再入国: possible but risky if 更新 is denied while abroad; if during 特例期間 (past 在留期限): significantly higher risk — airport may refuse re-entry, real cases exist; before departure: notify 入管, arrange proxy to receive mail, keep 申請受付票; if in 特例期間 specifically, strongly advise against departure",0.72,"TEBIQ adds value by emphasizing the 特例期間 case as distinctly riskier — notes that real-world airport rejections exist for people exiting during 特例期間. This practical emphasis is appropriate. However, TEBIQ omits DS's practical advice to set up a proxy in Japan to receive 入管 mail/notifications during the period abroad, which is an important operational step. Different strengths make this tied."
eval-lab-v1-I05,4,fact_underused,tied,"Core risk: if 在留期限 expires during absence, 視同再入国 becomes invalid, cannot re-enter; if 入管 requests 追加材料 and user is abroad, audit may stall or be denied; if 不許可 while abroad, recovery is much harder than if in Japan; for 経営管理: long absence creates 活動実態 risk; before departing, confirm with 入管 and arrange proxy; if within 1 month of 在留期限, recommend 行政書士",0.7,"TEBIQ correctly identifies the primary risks and asks appropriate clarifying questions. The 経営管理 活動実態 risk is a good proactive flag. However, TEBIQ doesn't explain what happens if 不許可 is issued while the user is abroad — DS notes this leads to a much more complex recovery situation, which is important context for a user evaluating whether to travel. This omission makes it tied rather than strict_added."
eval-lab-v1-I06,4,,strict_added,"Confirm type of re-entry permit used at departure; 視同再入国 → 1-year hard limit, no recovery if exceeded; regular 再入国許可 → up to 5 years; PROACTIVE: 1+ year absence affects 永住 application because 在日居住実態 will be questioned — even if 在留資格 is still technically valid; PROACTIVE: 家族滞在 holders — if sponsor's visa status changes during your absence, 家族滞在 may be affected too; recommend 行政書士 if situation is complex",0.72,"TEBIQ adds two proactive risks DS doesn't mention: (1) over 1-year absence, even if 在留資格 is maintained via formal 再入国許可, will undermine the 居住実態 (continuous residence) requirement for future 永住 applications — this is a long-term consequence the user asking about 1-year departures wouldn't consider; (2) 家族滞在 holders face collateral risk if their sponsoring visa holder's status changes during the absence. These forward-looking flags make TEBIQ strict_added."
eval-lab-v1-I07,4,,strict_added,"Reframe first: focus on completing departure procedures correctly before worrying about tourist visa; tourist visa likelihood depends on: (a) how you departed (clean vs. irregular), (b) any violations during stay, (c) outstanding obligations (tax, insurance, company cleanup); if 経営管理: uncleaned company or outstanding tax may appear in 在留履歴 and affect future entry scrutiny; no violation record + clean departure → tourist visa generally possible; recommend 行政書士 履歴 review if history is complex",0.7,"TEBIQ correctly reframes the question: the user is asking 'can I get a tourist visa later?' but the more urgent and actionable priority is 'make sure you depart correctly now.' If the departure process leaves loose ends (tax, company, insurance), those become the obstacle — not the tourist visa per se. TEBIQ also surfaces the 経営管理 specific risk of an uncleaned company appearing in 在留履歴. DS provides a solid general answer but doesn't redirect the user's attention to the more important prerequisite of clean departure."
eval-lab-v1-I08,4,fact_underused,tied,"Frame with binary: short-term return vs. not returning; if returning: uncleaned company with no operations creates 活動実態 risk at next re-entry or 更新 — flagged by 入管; if not returning: technically no one stops departure, but uncleaned company remains legally liable (税務申告 obligations, 法人住民税, social insurance) and will create obstacles for any future 在留申請; confirm: (a) does company have any actual operations? (b) when is 在留期限?",0.7,"TEBIQ's binary framing (return vs. not return) is appropriate and the 活動実態 risk warning for 経営管理 holders is correct. However, TEBIQ doesn't cover what DS addresses clearly: even if the company is dormant, legal obligations (法人税 filing, 社会保険 continuation, potential personal liability for 源泉所得税) persist. DS makes this concrete with specific tax/insurance obligations; TEBIQ stays at the conceptual level of 'company cleanup needed.' Different strengths; tied."
eval-lab-v1-I09,4,fact_underused,strict_added,"役所: 転出届 (triggers 住民票 除票, NHI cancellation); settle NHI back-payments; 税務: confirm 確定申告 completion for current year; designate 納税管理人 for 住民税 installments due after departure (legally required); PROACTIVE: any 住民税 paid late through 納税管理人 leaves a lateness record — if 永住 is a future goal, this affects the 直近3年 clean-payment requirement; 年金: if non-Japanese non-永住者, apply for 脱退一時金 after departure within 2-year window",0.72,"TEBIQ adds the most important proactive insight: even if you designate a 納税管理人 to handle 住民税 after departure, any late payments still leave a trace in the 住民税 record, which is audited for the 直近3年 in 永住 applications. DS provides better operational detail on each procedure (including マイナンバーカード handling and 手当 termination) but doesn't connect this to 永住 risk. TEBIQ's proactive link between routine departure tax-handling and long-term 永住 consequences qualifies as strict_added."
eval-lab-v1-I10,3,shallow_answer,tied,Definition: leaving Japan without using any 再入国 procedure = 在留資格 lapses upon exit; two specific forms: (1) checking 非再入国 box on departure card; (2) not doing any 再入国 procedure at all when departing; physical consequence: 在留カード is confiscated/punched at airport by immigration officer; after this: must reapply from scratch (在留資格 認定証明書 process); applies when: definitely not returning or closing out all JP ties,0.7,"TEBIQ's distinction between the two forms of 非再入国 出境 is a genuine improvement over DS's unified explanation. However, TEBIQ omits the concrete physical procedure DS covers: the 在留カード is collected or punched at the airport exit gate. For someone who doesn't know this, the physical interaction is important to know about in advance. The answer is adequate but slightly shallower on the procedural detail that makes the concept real to the user; tied with DS overall."
eval-lab-v1-J01,4,,tied,"Recognize the question as a signal that something changed; ask 3 diagnostic questions (current 在留資格, 在留期限, what changed recently); give scenario examples: 技人国 + resigned → 3-month activity clock + 14-day 入管 report; graduation + no job → 特定活動 application; 配偶者 + divorce → 6-month activity deadline; if change was 1-2 months ago and user is confused: find 行政書士 immediately",0.7,"TEBIQ correctly frames the question as a risk signal rather than just a procedural inquiry, and uses conditional scenario examples (work visa + resignation → 3-month clock; graduation → 特定活動; spousal visa + divorce → 6-month deadline) that DS does not. DS's 5-point checklist is more comprehensive as a self-assessment framework. TEBIQ's urgency framing and time-bound scenario examples add value, but DS's comprehensive checklist is equally useful. Tied."
eval-lab-v1-J02,3,fact_underused,tied,"Identify two immediate facts: (1) letter title/category, (2) any deadline; most common: 補完要求 → if deadline not met, application treated as withdrawn; 結果通知 (許可 or 不許可); CRITICAL MISS: 意見陳述/聴聞 notices → step before 在留資格 cancellation, require immediate 行政書士 consultation; bottom line: translate key fields today, never wait; if deadline is within 2 weeks and materials insufficient: 行政書士 now",0.7,"TEBIQ correctly identifies the most common type (補完要求) and gives appropriate urgency. However, it misses the 意見陳述 and 聴聞 (hearing) notices, which DS covers explicitly. These are the most serious type of 入管 letter — they signal the beginning of 在留資格 cancellation proceedings and require immediate expert response. For a risk-detection product, failing to flag the most dangerous letter type is a meaningful gap. TEBIQ and DS are otherwise comparable, making this tied."
